SampleCode	Lot	Lactate	Atm	Time	pH
RDL_C_01_T0_A_1	L01	2	Air	2	6.31
RDL_C_01_T0_B_1	L01	1	Air	2	6.22
RDL_C_01_T0_C_1	L01	0	Air	2	6.23
RDL_C_01_T0_A_2	L01	2	MAP1	2	6.31
RDL_C_01_T0_B_2	L01	1	MAP1	2	6.22
RDL_C_01_T0_C_2	L01	0	MAP1	2	6.23
RDL_C_01_T0_A_3	L01	2	MAP2	2	6.31
RDL_C_01_T0_B_3	L01	1	MAP2	2	6.22
RDL_C_01_T0_C_3	L01	0	MAP2	2	6.23
RDL_C_01_T1_A_1	L01	2	Air	8	5.69
RDL_C_01_T1_B_1	L01	1	Air	8	5.63
RDL_C_01_T1_C_1	L01	0	Air	8	5.54
RDL_C_01_T1_A_2	L01	2	MAP1	8	5.58
RDL_C_01_T1_B_2	L01	1	MAP1	8	5.73
RDL_C_01_T1_C_2	L01	0	MAP1	8	5.76
RDL_C_01_T1_A_3	L01	2	MAP2	8	5.74
RDL_C_01_T1_B_3	L01	1	MAP2	8	5.94
RDL_C_01_T1_C_3	L01	0	MAP2	8	5.77
RDL_C_01_T2_A_1	L01	2	Air	15	5.46
RDL_C_01_T2_B_1	L01	1	Air	15	5.37
RDL_C_01_T2_C_1	L01	0	Air	15	5.19
RDL_C_01_T2_A_2	L01	2	MAP1	15	5.48
RDL_C_01_T2_B_2	L01	1	MAP1	15	5.48
RDL_C_01_T2_C_2	L01	0	MAP1	15	5.33
RDL_C_01_T2_A_3	L01	2	MAP2	15	5.3
RDL_C_01_T2_B_3	L01	1	MAP2	15	5.12
RDL_C_01_T2_C_3	L01	0	MAP2	15	5.11
RDL_C_01_T3_A_1	L01	2	Air	22	5.49
RDL_C_01_T3_B_1	L01	1	Air	22	5.42
RDL_C_01_T3_C_1	L01	0	Air	22	5.2
RDL_C_01_T3_A_2	L01	2	MAP1	22	5.41
RDL_C_01_T3_B_2	L01	1	MAP1	22	5.44
RDL_C_01_T3_C_2	L01	0	MAP1	22	5.39
RDL_C_01_T3_A_3	L01	2	MAP2	22	5.24
RDL_C_01_T3_B_3	L01	1	MAP2	22	5.08
RDL_C_01_T3_C_3	L01	0	MAP2	22	5.07
RDL_C_02_T0_A_1	L02	2	Air	2	6.37
RDL_C_02_T0_B_1	L02	1	Air	2	6.2
RDL_C_02_T0_C_1	L02	0	Air	2	6.17
RDL_C_02_T0_A_2	L02	2	MAP1	2	6.37
RDL_C_02_T0_B_2	L02	1	MAP1	2	6.2
RDL_C_02_T0_C_2	L02	0	MAP1	2	6.17
RDL_C_02_T0_A_3	L02	2	MAP2	2	6.37
RDL_C_02_T0_B_3	L02	1	MAP2	2	6.2
RDL_C_02_T0_C_3	L02	0	MAP2	2	6.17
RDL_C_02_T1_A_1	L02	2	Air	8	5.89
RDL_C_02_T1_B_1	L02	1	Air	8	5.6
RDL_C_02_T1_C_1	L02	0	Air	8	5.57
RDL_C_02_T1_A_2	L02	2	MAP1	8	5.9
RDL_C_02_T1_B_2	L02	1	MAP1	8	5.75
RDL_C_02_T1_C_2	L02	0	MAP1	8	5.71
RDL_C_02_T1_A_3	L02	2	MAP2	8	5.87
RDL_C_02_T1_B_3	L02	1	MAP2	8	5.9
RDL_C_02_T1_C_3	L02	0	MAP2	8	5.86
RDL_C_02_T2_A_1	L02	2	Air	15	5.58
RDL_C_02_T2_B_1	L02	1	Air	15	5.36
RDL_C_02_T2_C_1	L02	0	Air	15	5.23
RDL_C_02_T2_A_2	L02	2	MAP1	15	5.67
RDL_C_02_T2_B_2	L02	1	MAP1	15	5.39
RDL_C_02_T2_C_2	L02	0	MAP1	15	5.39
RDL_C_02_T2_A_3	L02	2	MAP2	15	5.39
RDL_C_02_T2_B_3	L02	1	MAP2	15	5.15
RDL_C_02_T2_C_3	L02	0	MAP2	15	5.08
RDL_C_02_T3_A_1	L02	2	Air	22	5.65
RDL_C_02_T3_B_1	L02	1	Air	22	5.35
RDL_C_02_T3_C_1	L02	0	Air	22	5.23
RDL_C_02_T3_A_2	L02	2	MAP1	22	5.8
RDL_C_02_T3_B_2	L02	1	MAP1	22	5.49
RDL_C_02_T3_C_2	L02	0	MAP1	22	5.39
RDL_C_02_T3_A_3	L02	2	MAP2	22	5.34
RDL_C_02_T3_B_3	L02	1	MAP2	22	5.1
RDL_C_02_T3_C_3	L02	0	MAP2	22	5.07
RDL_C_03_T0_A_1	L03	2	Air	2	6.42
RDL_C_03_T0_B_1	L03	1	Air	2	6.39
RDL_C_03_T0_C_1	L03	0	Air	2	6.45
RDL_C_03_T0_A_2	L03	2	MAP1	2	6.42
RDL_C_03_T0_B_2	L03	1	MAP1	2	6.39
RDL_C_03_T0_C_2	L03	0	MAP1	2	6.45
RDL_C_03_T0_A_3	L03	2	MAP2	2	6.42
RDL_C_03_T0_B_3	L03	1	MAP2	2	6.39
RDL_C_03_T0_C_3	L03	0	MAP2	2	6.45
RDL_C_03_T1_A_1	L03	2	Air	8	6.18
RDL_C_03_T1_B_1	L03	1	Air	8	5.87
RDL_C_03_T1_C_1	L03	0	Air	8	5.78
RDL_C_03_T1_A_2	L03	2	MAP1	8	6.16
RDL_C_03_T1_B_2	L03	1	MAP1	8	5.94
RDL_C_03_T1_C_2	L03	0	MAP1	8	5.76
RDL_C_03_T1_A_3	L03	2	MAP2	8	6.15
RDL_C_03_T1_B_3	L03	1	MAP2	8	6.06
RDL_C_03_T1_C_3	L03	0	MAP2	8	5.87
RDL_C_03_T2_A_1	L03	2	Air	15	5.43
RDL_C_03_T2_B_1	L03	1	Air	15	5.36
RDL_C_03_T2_C_1	L03	0	Air	15	5.26
RDL_C_03_T2_A_2	L03	2	MAP1	15	5.41
RDL_C_03_T2_B_2	L03	1	MAP1	15	5.42
RDL_C_03_T2_C_2	L03	0	MAP1	15	5.38
RDL_C_03_T2_A_3	L03	2	MAP2	15	5.4
RDL_C_03_T2_B_3	L03	1	MAP2	15	5.2
RDL_C_03_T2_C_3	L03	0	MAP2	15	5.22
RDL_C_03_T3_A_1	L03	2	Air	22	5.5
RDL_C_03_T3_B_1	L03	1	Air	22	5.38
RDL_C_03_T3_C_1	L03	0	Air	22	5.31
RDL_C_03_T3_A_2	L03	2	MAP1	22	5.46
RDL_C_03_T3_B_2	L03	1	MAP1	22	5.43
RDL_C_03_T3_C_2	L03	0	MAP1	22	5.41
RDL_C_03_T3_A_3	L03	2	MAP2	22	5.21
RDL_C_03_T3_B_3	L03	1	MAP2	22	5.26
RDL_C_03_T3_C_3	L03	0	MAP2	22	5.23
RDL_C_04_T0_A_1	L04	2	Air	2	6.33
RDL_C_04_T0_B_1	L04	1	Air	2	6.3
RDL_C_04_T0_C_1	L04	0	Air	2	6.23
RDL_C_04_T0_A_2	L04	2	MAP1	2	6.33
RDL_C_04_T0_B_2	L04	1	MAP1	2	6.3
RDL_C_04_T0_C_2	L04	0	MAP1	2	6.23
RDL_C_04_T0_A_3	L04	2	MAP2	2	6.33
RDL_C_04_T0_B_3	L04	1	MAP2	2	6.3
RDL_C_04_T0_C_3	L04	0	MAP2	2	6.23
RDL_C_04_T1_A_1	L04	2	Air	8	6.15
RDL_C_04_T1_B_1	L04	1	Air	8	5.98
RDL_C_04_T1_C_1	L04	0	Air	8	5.67
RDL_C_04_T1_A_2	L04	2	MAP1	8	6.06
RDL_C_04_T1_B_2	L04	1	MAP1	8	5.81
RDL_C_04_T1_C_2	L04	0	MAP1	8	5.75
RDL_C_04_T1_A_3	L04	2	MAP2	8	6.09
RDL_C_04_T1_B_3	L04	1	MAP2	8	6.06
RDL_C_04_T1_C_3	L04	0	MAP2	8	5.92
RDL_C_04_T2_A_1	L04	2	Air	15	5.46
RDL_C_04_T2_B_1	L04	1	Air	15	5.3
RDL_C_04_T2_C_1	L04	0	Air	15	5.18
RDL_C_04_T2_A_2	L04	2	MAP1	15	5.46
RDL_C_04_T2_B_2	L04	1	MAP1	15	5.46
RDL_C_04_T2_C_2	L04	0	MAP1	15	5.31
RDL_C_04_T2_A_3	L04	2	MAP2	15	5.38
RDL_C_04_T2_B_3	L04	1	MAP2	15	5.22
RDL_C_04_T2_C_3	L04	0	MAP2	15	5.08
RDL_C_04_T3_A_1	L04	2	Air	22	5.47
